	n ML	k ML
0.821059602649007	3.91883867802744	0.00136892389503748
0.818349834983499	3.92729623199801	0.00136411383085094
0.815657894736842	3.9309659312043	0.00135943233463739
0.812983606557377	3.93170307914384	0.0013589158992374
0.810326797385621	3.94252553581822	0.00135530165622729
0.807687296416938	3.94147151717401	0.00135384438744218
0.805064935064935	3.94071967418619	0.00134921061899694
0.802459546925567	3.95263541665135	0.00134468070125696
0.799870967741936	3.95157079035351	0.00134502488396167
0.797299035369775	3.95764484093767	0.0013429741387212
0.79474358974359	3.96379444398413	0.00134089410045252
0.792204472843451	3.96292414381244	0.00134101855909919
0.789681528662421	3.96232882490022	0.0013406809207415
0.787174603174604	3.97078161051095	0.00133082716872157
0.784683544303798	3.98613494132194	0.00132651137407353
0.782208201892745	3.98474421084223	0.00132708179387369
0.779748427672957	3.98530609220452	0.00132323128210696
0.777304075235111	4.00797045568994	0.00131217233955307
0.774875000000001	4.00564267903545	0.00131352614858055
0.772461059190032	4.00510865710058	0.00131143224813512
0.770062111801243	4.01631101030167	0.00130326450276898
0.767678018575852	4.01564108494844	0.00130307960680067
0.76530864197531	4.02490491564777	0.00129671100837466
0.762953846153847	4.03960143697916	0.00129228605730555
0.760613496932517	4.03680615461945	0.00129348486709204
0.758287461773702	4.04877521966257	0.00128611520790176
0.755975609756099	4.04641487977544	0.00128659944138601
0.753677811550153	4.06032397478103	0.00127635653408337
0.751393939393941	4.06849864813347	0.00126790003542418
0.749123867069488	4.09009201669685	0.00126059032621379
0.74686746987952	4.08997733084148	0.00126044287080838
0.744624624624626	4.09093256602892	0.00125698305245695
0.74239520958084	4.08942318536366	0.00125829616340178
0.740179104477614	4.09995473613173	0.00125190857118763
0.737976190476192	4.10030534985552	0.00125136696687874
0.73578635014837	4.10766371912658	0.00124261879325725
0.733609467455623	4.12238845824185	0.00123876156642429
0.731445427728615	4.13019447888745	0.00123701813444796
0.729294117647061	4.13207985512574	0.00123026241895888
0.727155425219943	4.14300839281599	0.00122653517428007
0.725029239766084	4.14619692948324	0.00122204896857991
0.722915451895046	4.15992515960656	0.00121226316802278
0.720813953488374	4.17220379919033	0.00120667420155185
0.718724637681161	4.18475815322669	0.00120016911285218
0.716647398843933	4.19719482597016	0.00119244210299148
0.714582132564843	4.21105952184481	0.00118481897140579
0.712528735632186	4.2138441869951	0.00117956714728665
0.710487106017194	4.2250334719401	0.00117342417693841
0.708457142857145	4.23788492028375	0.00119226143733311
0.706438746438749	4.24506981147862	0.00103858080064959
0.70443181818182	4.25153854802842	0.00212456471605248
0.702436260623232	4.26449400549783	0.00229467371097638
0.700451977401132	4.27696047066718	0.00230068666694124
0.698478873239439	4.28585671049224	0.00227393074081608
0.696516853932586	4.28542802759302	0.00230769658143169
0.694565826330535	4.28450413778386	0.00223547935468803
0.692625698324025	4.29548382726499	0.00349313390482599
0.690696378830086	4.29758304772884	0.00337282295408337
0.68877777777778	4.30960217922812	0.0033892853065994
0.686869806094185	4.33192856951777	0.00335106473199444
0.68497237569061	4.33505540773631	0.00333597950318842
0.683085399449038	4.35666498907619	0.00315650541065193
0.681208791208794	4.35907634316302	0.00447703757612818
0.679342465753427	4.36508283020894	0.00545982832910021
0.677486338797817	4.37485785737742	0.00647959584878908
0.675640326975479	4.37692737246545	0.00641533306187024
0.673804347826089	4.39659585309751	0.00682426032942595
0.671978319783201	4.40656023822641	0.0082160183956274
0.670162162162165	4.41453823120525	0.00950648580220006
0.668355795148251	4.43522810496335	0.0108174106792303
0.666559139784949	4.43903672128915	0.0151026909995537
0.664772117962469	4.454477564289	0.0198600921395563
0.66299465240642	4.46524720350612	0.0213933310467189
0.661226666666669	4.47929972205388	0.0246976876703892
0.659468085106386	4.50074625677068	0.0249632007362336
0.657718832891249	4.50562399477165	0.0281275541946382
0.655978835978839	4.52682793052144	0.0287558551780938
0.654248021108182	4.5374521995961	0.0307049345424823
0.652526315789477	4.54963407663047	0.0352519716436025
0.650813648293966	4.56268423339778	0.0401977906754072
0.649109947643982	4.58682631848103	0.0487174951291008
0.647415143603136	4.60867232747584	0.0599715567428006
0.64572916666667	4.64061254622049	0.0686984441028541
0.644051948051951	4.67434100374227	0.0779519857970658
0.642383419689122	4.69902212693691	0.0874412019096498
0.640723514211889	4.73430755589177	0.097595175869536
0.639072164948457	4.76815148304121	0.103349281295
0.637429305912599	4.81129573443681	0.107862233587431
0.635794871794875	4.83113158039778	0.105094746511021
0.634168797953967	4.95423231718314	0.0988984435550702
0.632551020408166	5.11342247578112	0.0947907261587412
0.630941475826975	5.15264096281855	0.0945104919497638
0.629340101522846	5.22391533012001	0.0913344767547109
0.627746835443041	5.37504640113143	0.086393373201018
0.626161616161619	5.4889907655319	0.0834700799539803
0.62458438287154	5.60026978886538	0.0801435232038344
0.623015075376888	5.68438525807581	0.0774653326301685
0.621453634085216	5.53166787640235	0.0788775113727515
0.619900000000003	5.47387373765287	0.0751077958599805
0.61835411471322	5.35724694013859	0.0750774183663705
0.616815920398013	5.09597693292018	0.0810057186442762
0.615285359801492	4.75660204297993	0.0856160876233293
0.613762376237627	4.32787327720667	0.0919393033888729
0.61224691358025	3.95344844355707	0.0963841801841953
0.610738916256161	3.62285008353468	0.102204338698694
0.609238329238333	3.41390429982239	0.0962586221017749
0.607745098039219	3.29316353188135	0.0885546912176848
0.60625916870416	3.26915892414285	0.0795104355707088
0.604780487804882	3.29365390587587	0.0754221187065097
0.603309002433093	3.36771607513707	0.0713332869292298
0.601844660194178	3.44575911027656	0.0645370223118002
